epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,75.9941,3.75449,4.71021,3.49672,0,0,0,0,4.21467,5.43073,4.25758,0.000980396,0.000980396,0.000980396
41,581.123,1.55115,2.06505,1.21965,0.65057,0.58333,0.577,0.24043,2.30849,2.1881,1.44169,0.000346736,0.000346736,0.000346736
3,117.125,3.80342,4.43629,3.5594,0,0,0,0,4.21467,5.43073,4.25758,0.00149425,0.00149425,0.00149425
42,618.609,1.56392,2.11496,1.28879,0.92536,0.5,0.60257,0.24795,2.31006,2.04691,1.43256,0.000313729,0.000313729,0.000313729
1,40.904,3.69263,4.70904,3.72355,0,0,0,0,4.21467,5.43073,4.25758,0.000444533,0.000444533,0.000444533
43,647.815,1.58626,2.03858,1.29029,0.92536,0.5,0.60257,0.24795,2.31006,2.04691,1.43256,0.000280723,0.000280723,0.000280723
4,150.375,2.93544,4.10364,2.61918,0.00267,0.45,0.00268,0.00083,2.85449,4.0777,2.5563,0.00156798,0.00156798,0.00156798
2,74.5585,3.75449,4.71021,3.49672,0,0,0,0,4.21467,5.43073,4.25758,0.000980396,0.000980396,0.000980396
44,683.217,1.55517,1.89179,1.25172,0.92536,0.5,0.60257,0.24795,2.31006,2.04691,1.43256,0.000247716,0.000247716,0.000247716
5,195.95,2.8008,3.83593,2.42562,0.00267,0.45,0.00268,0.00083,2.85449,4.0777,2.5563,0.00153497,0.00153497,0.00153497
3,123.257,3.80342,4.43629,3.5594,0,0,0,0,4.21467,5.43073,4.25758,0.00149425,0.00149425,0.00149425
45,727.186,1.56129,1.93686,1.29486,0.92536,0.5,0.60257,0.24795,2.31006,2.04691,1.43256,0.00021471,0.00021471,0.00021471
6,239.931,2.88712,3.95869,2.45855,0.00267,0.45,0.00268,0.00083,2.85449,4.0777,2.5563,0.00150197,0.00150197,0.00150197
4,164.787,2.93544,4.10364,2.61918,0.00267,0.45,0.00268,0.00083,2.85449,4.0777,2.5563,0.00156798,0.00156798,0.00156798
46,760.061,1.4482,1.83107,1.20374,0.64752,0.57554,0.61107,0.263,2.25104,1.99356,1.34682,0.000181703,0.000181703,0.000181703
7,274.283,2.32312,3.42035,2.05814,0.00288,0.5,0.03624,0.00417,2.62573,4.18872,2.32889,0.00146896,0.00146896,0.00146896
5,197.216,2.8008,3.83593,2.42562,0.00267,0.45,0.00268,0.00083,2.85449,4.0777,2.5563,0.00153497,0.00153497,0.00153497
47,785.107,1.59814,1.95963,1.30701,0.64752,0.57554,0.61107,0.263,2.25104,1.99356,1.34682,0.000148696,0.000148696,0.000148696
8,302.327,2.39943,3.59954,2.01572,0.00288,0.5,0.03624,0.00417,2.62573,4.18872,2.32889,0.00143595,0.00143595,0.00143595
6,226.724,2.88712,3.95869,2.45855,0.00267,0.45,0.00268,0.00083,2.85449,4.0777,2.5563,0.00150197,0.00150197,0.00150197
48,812.022,1.43205,1.87511,1.34659,0.64752,0.57554,0.61107,0.263,2.25104,1.99356,1.34682,0.00011569,0.00011569,0.00011569
9,332.094,2.18775,3.32541,1.94587,0.00288,0.5,0.03624,0.00417,2.62573,4.18872,2.32889,0.00140295,0.00140295,0.00140295
7,257.189,2.32312,3.42035,2.05814,0.00288,0.5,0.03624,0.00417,2.62573,4.18872,2.32889,0.00146896,0.00146896,0.00146896
49,838.84,1.52124,1.87498,1.19016,0.68753,0.58878,0.62524,0.30548,2.21489,2.02437,1.34328,8.26832e-05,8.26832e-05,8.26832e-05
10,357.631,2.29326,3.55261,1.93441,0.53967,0.05,0.01456,0.00424,1.98186,3.91955,2.03617,0.00136994,0.00136994,0.00136994
50,863.446,1.5562,1.90062,1.29703,0.68753,0.58878,0.62524,0.30548,2.21489,2.02437,1.34328,4.96766e-05,4.96766e-05,4.96766e-05
8,285.679,2.39943,3.59954,2.01572,0.00288,0.5,0.03624,0.00417,2.62573,4.18872,2.32889,0.00143595,0.00143595,0.00143595
11,380.223,2.37863,3.46153,1.97363,0.53967,0.05,0.01456,0.00424,1.98186,3.91955,2.03617,0.00133693,0.00133693,0.00133693
9,307.728,2.18775,3.32541,1.94587,0.00288,0.5,0.03624,0.00417,2.62573,4.18872,2.32889,0.00140295,0.00140295,0.00140295
12,402.385,2.20887,3.22652,1.82907,0.53967,0.05,0.01456,0.00424,1.98186,3.91955,2.03617,0.00130393,0.00130393,0.00130393
10,332.307,2.29326,3.55261,1.93441,0.53967,0.05,0.01456,0.00424,1.98186,3.91955,2.03617,0.00136994,0.00136994,0.00136994
13,425.329,2.21054,3.11361,1.77499,0.00445,0.7,0.01736,0.00455,2.02299,3.60735,1.99381,0.00127092,0.00127092,0.00127092
11,354.634,2.37863,3.46153,1.97363,0.53967,0.05,0.01456,0.00424,1.98186,3.91955,2.03617,0.00133693,0.00133693,0.00133693
14,446.32,2.10073,2.92416,1.80537,0.00445,0.7,0.01736,0.00455,2.02299,3.60735,1.99381,0.00123791,0.00123791,0.00123791
12,376.357,2.20887,3.22652,1.82907,0.53967,0.05,0.01456,0.00424,1.98186,3.91955,2.03617,0.00130393,0.00130393,0.00130393
15,473.274,2.04117,3.1325,1.74948,0.00445,0.7,0.01736,0.00455,2.02299,3.60735,1.99381,0.00120491,0.00120491,0.00120491
13,402.164,2.21054,3.11361,1.77499,0.00445,0.7,0.01736,0.00455,2.02299,3.60735,1.99381,0.00127092,0.00127092,0.00127092
16,508.093,1.99834,2.88004,1.78665,0.94588,0.45,0.53285,0.16832,2.19399,2.5609,1.74403,0.0011719,0.0011719,0.0011719
14,431.828,2.10073,2.92416,1.80537,0.00445,0.7,0.01736,0.00455,2.02299,3.60735,1.99381,0.00123791,0.00123791,0.00123791
17,535.726,1.7174,2.47697,1.61541,0.94588,0.45,0.53285,0.16832,2.19399,2.5609,1.74403,0.00113889,0.00113889,0.00113889
15,455.832,2.04117,3.1325,1.74948,0.00445,0.7,0.01736,0.00455,2.02299,3.60735,1.99381,0.00120491,0.00120491,0.00120491
18,555.862,1.90527,2.70493,1.66556,0.94588,0.45,0.53285,0.16832,2.19399,2.5609,1.74403,0.00110589,0.00110589,0.00110589
16,476.603,1.99834,2.88004,1.78665,0.94588,0.45,0.53285,0.16832,2.19399,2.5609,1.74403,0.0011719,0.0011719,0.0011719
19,579.503,1.94403,2.87463,1.65308,1,0.44629,0.49299,0.22216,2.32477,2.35481,1.31514,0.00107288,0.00107288,0.00107288
17,500.247,1.7174,2.47697,1.61541,0.94588,0.45,0.53285,0.16832,2.19399,2.5609,1.74403,0.00113889,0.00113889,0.00113889
20,600.76,1.82539,2.69991,1.54396,1,0.44629,0.49299,0.22216,2.32477,2.35481,1.31514,0.00103987,0.00103987,0.00103987
18,521.193,1.90527,2.70493,1.66556,0.94588,0.45,0.53285,0.16832,2.19399,2.5609,1.74403,0.00110589,0.00110589,0.00110589
21,618.747,1.95272,2.79469,1.60719,1,0.44629,0.49299,0.22216,2.32477,2.35481,1.31514,0.00100687,0.00100687,0.00100687
19,540.381,1.94403,2.87463,1.65308,1,0.44629,0.49299,0.22216,2.32477,2.35481,1.31514,0.00107288,0.00107288,0.00107288
22,637.306,1.73598,2.45489,1.5166,0.99573,0.45,0.56148,0.26856,2.00134,2.02489,1.27835,0.000973861,0.000973861,0.000973861
20,559.116,1.82539,2.69991,1.54396,1,0.44629,0.49299,0.22216,2.32477,2.35481,1.31514,0.00103987,0.00103987,0.00103987
23,656.91,1.6723,2.37991,1.44218,0.99573,0.45,0.56148,0.26856,2.00134,2.02489,1.27835,0.000940855,0.000940855,0.000940855
21,579.036,1.95272,2.79469,1.60719,1,0.44629,0.49299,0.22216,2.32477,2.35481,1.31514,0.00100687,0.00100687,0.00100687
24,681.643,1.69815,2.3441,1.41618,0.99573,0.45,0.56148,0.26856,2.00134,2.02489,1.27835,0.000907848,0.000907848,0.000907848
22,604.241,1.73598,2.45489,1.5166,0.99573,0.45,0.56148,0.26856,2.00134,2.02489,1.27835,0.000973861,0.000973861,0.000973861
25,703.948,1.81522,2.3091,1.47383,0.99076,0.45,0.56564,0.29101,1.9451,1.99908,1.21217,0.000874842,0.000874842,0.000874842
23,626.022,1.6723,2.37991,1.44218,0.99573,0.45,0.56148,0.26856,2.00134,2.02489,1.27835,0.000940855,0.000940855,0.000940855
26,724.912,1.59406,2.10853,1.33176,0.99076,0.45,0.56564,0.29101,1.9451,1.99908,1.21217,0.000841835,0.000841835,0.000841835
24,646.078,1.69815,2.3441,1.41618,0.99573,0.45,0.56148,0.26856,2.00134,2.02489,1.27835,0.000907848,0.000907848,0.000907848
27,745.999,1.64292,2.02822,1.36326,0.99076,0.45,0.56564,0.29101,1.9451,1.99908,1.21217,0.000808828,0.000808828,0.000808828
25,669.755,1.81522,2.3091,1.47383,0.99076,0.45,0.56564,0.29101,1.9451,1.99908,1.21217,0.000874842,0.000874842,0.000874842
28,771.395,1.54004,1.90061,1.30293,0.87877,0.63994,0.63718,0.31516,1.87844,1.84958,1.15427,0.000775822,0.000775822,0.000775822
26,695.114,1.59406,2.10853,1.33176,0.99076,0.45,0.56564,0.29101,1.9451,1.99908,1.21217,0.000841835,0.000841835,0.000841835
29,795.832,1.75776,2.08694,1.40736,0.87877,0.63994,0.63718,0.31516,1.87844,1.84958,1.15427,0.000742815,0.000742815,0.000742815
27,719.674,1.64292,2.02822,1.36326,0.99076,0.45,0.56564,0.29101,1.9451,1.99908,1.21217,0.000808828,0.000808828,0.000808828
30,816.722,1.73141,2.1171,1.36907,0.87877,0.63994,0.63718,0.31516,1.87844,1.84958,1.15427,0.000709809,0.000709809,0.000709809
28,738.971,1.54004,1.90061,1.30293,0.87877,0.63994,0.63718,0.31516,1.87844,1.84958,1.15427,0.000775822,0.000775822,0.000775822
31,839.428,1.56118,1.85863,1.30117,0.87745,0.65,0.63742,0.34728,1.76538,1.70251,1.1307,0.000676802,0.000676802,0.000676802
29,762.501,1.75776,2.08694,1.40736,0.87877,0.63994,0.63718,0.31516,1.87844,1.84958,1.15427,0.000742815,0.000742815,0.000742815
32,863.503,1.4533,1.72364,1.24323,0.87745,0.65,0.63742,0.34728,1.76538,1.70251,1.1307,0.000643795,0.000643795,0.000643795
30,789.166,1.73141,2.1171,1.36907,0.87877,0.63994,0.63718,0.31516,1.87844,1.84958,1.15427,0.000709809,0.000709809,0.000709809
33,892.366,1.49376,1.80669,1.28931,0.87745,0.65,0.63742,0.34728,1.76538,1.70251,1.1307,0.000610789,0.000610789,0.000610789
31,819.958,1.56118,1.85863,1.30117,0.87745,0.65,0.63742,0.34728,1.76538,1.70251,1.1307,0.000676802,0.000676802,0.000676802
34,927.425,1.55636,1.70654,1.25753,0.9798,0.59508,0.64619,0.40212,1.65972,1.7714,1.06507,0.000577782,0.000577782,0.000577782
32,853.771,1.4533,1.72364,1.24323,0.87745,0.65,0.63742,0.34728,1.76538,1.70251,1.1307,0.000643795,0.000643795,0.000643795
35,960.799,1.57774,1.71139,1.31585,0.9798,0.59508,0.64619,0.40212,1.65972,1.7714,1.06507,0.000544776,0.000544776,0.000544776
33,887.76,1.49376,1.80669,1.28931,0.87745,0.65,0.63742,0.34728,1.76538,1.70251,1.1307,0.000610789,0.000610789,0.000610789
36,988.123,1.26358,1.55664,1.18267,0.9798,0.59508,0.64619,0.40212,1.65972,1.7714,1.06507,0.000511769,0.000511769,0.000511769
34,914.246,1.55636,1.70654,1.25753,0.9798,0.59508,0.64619,0.40212,1.65972,1.7714,1.06507,0.000577782,0.000577782,0.000577782
37,1016.84,1.56665,1.81529,1.25521,0.92846,0.6,0.65423,0.37981,1.74223,1.72016,1.07241,0.000478762,0.000478762,0.000478762
35,942.589,1.57774,1.71139,1.31585,0.9798,0.59508,0.64619,0.40212,1.65972,1.7714,1.06507,0.000544776,0.000544776,0.000544776
38,1045.83,1.56911,1.70267,1.32455,0.92846,0.6,0.65423,0.37981,1.74223,1.72016,1.07241,0.000445756,0.000445756,0.000445756
36,972.846,1.26358,1.55664,1.18267,0.9798,0.59508,0.64619,0.40212,1.65972,1.7714,1.06507,0.000511769,0.000511769,0.000511769
39,1073.46,1.45109,1.62964,1.22609,0.92846,0.6,0.65423,0.37981,1.74223,1.72016,1.07241,0.000412749,0.000412749,0.000412749
37,998.524,1.56665,1.81529,1.25521,0.92846,0.6,0.65423,0.37981,1.74223,1.72016,1.07241,0.000478762,0.000478762,0.000478762
40,1098.7,1.49964,1.63071,1.19549,0.79971,0.6285,0.65333,0.35644,1.68537,1.59526,1.04759,0.000379743,0.000379743,0.000379743
38,1024.58,1.56911,1.70267,1.32455,0.92846,0.6,0.65423,0.37981,1.74223,1.72016,1.07241,0.000445756,0.000445756,0.000445756
41,1119.94,1.38077,1.93214,1.14627,0.79971,0.6285,0.65333,0.35644,1.68537,1.59526,1.04759,0.000346736,0.000346736,0.000346736
39,1044.74,1.45109,1.62964,1.22609,0.92846,0.6,0.65423,0.37981,1.74223,1.72016,1.07241,0.000412749,0.000412749,0.000412749
42,1140.68,1.40247,2.02377,1.15736,0.79971,0.6285,0.65333,0.35644,1.68537,1.59526,1.04759,0.000313729,0.000313729,0.000313729
40,1066.28,1.49964,1.63071,1.19549,0.79971,0.6285,0.65333,0.35644,1.68537,1.59526,1.04759,0.000379743,0.000379743,0.000379743
43,1159.92,1.48509,1.95113,1.19102,0.81285,0.64473,0.65167,0.34457,1.66366,1.6124,1.02511,0.000280723,0.000280723,0.000280723
41,1086.16,1.38077,1.93214,1.14627,0.79971,0.6285,0.65333,0.35644,1.68537,1.59526,1.04759,0.000346736,0.000346736,0.000346736
44,1180.72,1.41431,1.84103,1.15398,0.81285,0.64473,0.65167,0.34457,1.66366,1.6124,1.02511,0.000247716,0.000247716,0.000247716
42,1107.02,1.40247,2.02377,1.15736,0.79971,0.6285,0.65333,0.35644,1.68537,1.59526,1.04759,0.000313729,0.000313729,0.000313729
45,1198.72,1.37552,1.76294,1.10433,0.81285,0.64473,0.65167,0.34457,1.66366,1.6124,1.02511,0.00021471,0.00021471,0.00021471
43,1126.01,1.48509,1.95113,1.19102,0.81285,0.64473,0.65167,0.34457,1.66366,1.6124,1.02511,0.000280723,0.000280723,0.000280723
46,1217.94,1.3816,1.84104,1.16653,0.81397,0.65,0.63667,0.33231,1.64608,1.64311,1.03324,0.000181703,0.000181703,0.000181703
44,1145.69,1.41431,1.84103,1.15398,0.81285,0.64473,0.65167,0.34457,1.66366,1.6124,1.02511,0.000247716,0.000247716,0.000247716
47,1237.53,1.36101,1.86056,1.16707,0.81397,0.65,0.63667,0.33231,1.64608,1.64311,1.03324,0.000148696,0.000148696,0.000148696
45,1165.35,1.37552,1.76294,1.10433,0.81285,0.64473,0.65167,0.34457,1.66366,1.6124,1.02511,0.00021471,0.00021471,0.00021471
48,1256.82,1.28763,1.76161,1.11738,0.81397,0.65,0.63667,0.33231,1.64608,1.64311,1.03324,0.00011569,0.00011569,0.00011569
46,1185.92,1.3816,1.84104,1.16653,0.81397,0.65,0.63667,0.33231,1.64608,1.64311,1.03324,0.000181703,0.000181703,0.000181703
49,1277.41,1.46173,1.82122,1.14595,0.81068,0.65,0.64167,0.34833,1.6004,1.6466,1.04111,8.26832e-05,8.26832e-05,8.26832e-05
47,1204.38,1.36101,1.86056,1.16707,0.81397,0.65,0.63667,0.33231,1.64608,1.64311,1.03324,0.000148696,0.000148696,0.000148696
50,1296.32,1.4507,1.75646,1.09871,0.81068,0.65,0.64167,0.34833,1.6004,1.6466,1.04111,4.96766e-05,4.96766e-05,4.96766e-05
48,1222.55,1.28763,1.76161,1.11738,0.81397,0.65,0.63667,0.33231,1.64608,1.64311,1.03324,0.00011569,0.00011569,0.00011569
49,1245.94,1.46173,1.82122,1.14595,0.81068,0.65,0.64167,0.34833,1.6004,1.6466,1.04111,8.26832e-05,8.26832e-05,8.26832e-05
50,1258.7,1.4507,1.75646,1.09871,0.81068,0.65,0.64167,0.34833,1.6004,1.6466,1.04111,4.96766e-05,4.96766e-05,4.96766e-05
